household_weight,people_in_household,adults_in_household,children_in_household,baseline_household_net_income_bhc,baseline_equiv_household_net_income_bhc,baseline_household_net_income_ahc,baseline_equiv_household_net_income_ahc,baseline_in_poverty_bhc,baseline_in_poverty_ahc,reform_1_household_net_income_bhc,reform_1_equiv_household_net_income_bhc,reform_1_household_net_income_ahc,reform_1_equiv_household_net_income_ahc,reform_1_in_poverty_bhc,reform_1_in_poverty_ahc,reform_2_household_net_income_bhc,reform_2_equiv_household_net_income_bhc,reform_2_household_net_income_ahc,reform_2_equiv_household_net_income_ahc,reform_2_in_poverty_bhc,reform_2_in_poverty_ahc,reform_3_household_net_income_bhc,reform_3_equiv_household_net_income_bhc,reform_3_household_net_income_ahc,reform_3_equiv_household_net_income_ahc,reform_3_in_poverty_bhc,reform_3_in_poverty_ahc,reform_4_household_net_income_bhc,reform_4_equiv_household_net_income_bhc,reform_4_household_net_income_ahc,reform_4_equiv_household_net_income_ahc,reform_4_in_poverty_bhc,reform_4_in_poverty_ahc
1329.0,1,1,0,1113.7137,1662.2593,827.71375,1235.3937,0,0,1030.5868,1538.1892,744.5868,1111.3235,0,0,940.72906,1404.0732,654.72906,977.2075,0,0,798.72906,1192.1329,512.72906,765.2672,0,0,733.7415,1095.1366,447.7415,668.2709,0,0
1137.0,3,1,2,203.4823,190.17036,108.4823,101.38532,1,1,254.9723,238.29185,159.9723,149.50682,1,1,309.4723,289.2264,214.4723,200.44139,0,1,325.7177,304.40906,230.7177,215.62401,0,1,239.9723,224.27318,144.9723,135.48813,1,1
1183.0,1,1,0,176.0,262.68655,98.0,146.26865,0,1,218.43999,326.02982,140.43999,209.61192,0,1,240.81499,359.42535,162.81499,243.00743,0,1,283.815,423.60446,205.815,307.18655,0,0,325.815,486.29105,247.815,369.87314,0,0
1301.0,1,1,0,323.0,482.08954,220.0,328.35822,0,0,323.08,482.20892,220.07999,328.47757,0,0,441.06747,658.30963,338.06747,504.5783,0,0,299.06747,446.36935,196.06747,292.638,0,0,234.08,349.37314,131.08,195.64178,0,1
1640.0,1,1,0,1196.5461,1785.8898,1170.5461,1747.0837,0,0,1074.1792,1603.2524,1048.1792,1564.4465,0,0,941.27155,1404.8828,915.27155,1366.0769,0,0,799.27155,1192.9426,773.27155,1154.1366,0,0,780.08405,1164.3046,754.08405,1125.4985,0,0
1693.0,4,2,2,711.68616,508.34726,678.68616,484.77585,0,0,796.6292,569.0209,763.6292,545.44946,0,0,837.1292,597.94946,804.1292,574.378,0,0,1009.1292,720.8066,976.1292,697.23517,0,0,832.1292,594.378,799.1292,570.8066,0,0
1659.0,6,4,2,1103.5579,1031.3624,1085.5579,1014.54,0,0,1140.64,1066.0187,1122.64,1049.1962,0,0,1290.94,1206.4858,1272.94,1189.6635,0,0,1363.94,1274.7102,1345.94,1257.8877,0,0,1149.64,1074.4298,1131.64,1057.6074,0,0
1314.0,3,2,1,577.94037,481.61694,523.94037,436.61694,0,0,622.14343,518.4528,568.14343,473.45285,0,0,588.59344,490.4945,534.59344,445.4945,0,0,717.59344,597.9945,663.59344,552.9945,0,0,674.64343,562.2028,620.64343,517.2028,0,0
1932.0,3,3,0,529.8369,529.8369,432.83694,432.83694,0,0,593.16,593.16,496.15997,496.15997,0,0,771.8,771.8,674.8,674.8,0,0,645.8,645.8,548.8,548.8,0,0,455.3475,455.3475,358.3475,358.3475,0,0
2371.0,2,2,0,961.5138,961.5138,657.5138,657.5138,0,0,951.44,951.44,647.44,647.44,0,0,729.44006,729.44006,425.44003,425.44003,0,0,815.44006,815.44006,511.44003,511.44003,0,0,899.44006,899.44006,595.44006,595.44006,0,0
1513.0,2,2,0,1026.3539,1026.3539,1002.3539,1002.3539,0,0,933.18,933.18,909.18,909.18,0,0,977.475,977.475,953.475,953.475,0,0,693.475,693.475,669.475,669.475,0,0,631.05505,631.05505,607.05505,607.05505,0,0
1295.0,4,2,2,1099.3279,785.2342,1005.3279,718.0914,0,0,1104.14,788.67145,1010.14,721.52856,0,0,986.88995,704.9214,892.88995,637.77856,0,0,1158.8899,827.7785,1064.8899,760.6356,0,0,981.89,701.35004,887.89,634.20715,0,0
